book_title,Description,aurthor,rating
How the García Girls Lost Their Accents,"Uprooted from their family home in the Dominican Republic, the four Garcia sisters - Carla, Sandra, Yolanda, and Sofia - arrive in New York City in 1960 to find a life far different from the genteel existence of maids, manicures, and extended family they left behind. What they have lost - and what they find - is revealed in the fifteen interconnected stories that make up this exquisite novel from one of the premier novelists of our time.",Julia Alvarez,3.63
A Land More Kind Than Home,"A stunning debut reminiscent of the beloved novels of John Hart and Tom Franklin, A Land More Kind Than Home is a mesmerizing literary thriller about the bond between two brothers and the evil they face in a small western North Carolina town

For a curious boy like Jess Hall, growing up in Marshall means trouble when your mother catches you spying on grown-ups. Adventurous and precocious, Jess is enormously protective of his older brother, Christopher, a mute whom everyone calls Stump. Though their mother has warned them not to snoop, Stump can't help sneaking a look at something he's not supposed to — an act that will have catastrophic repercussions, shattering both his world and Jess's. It's a wrenching event that thrusts Jess into an adulthood for which he's not prepared. While there is much about the world that still confuses him, he now knows that a new understanding can bring not only a growing danger and evil — but also the possibility of freedom and deliverance as well.

Told by three resonant and evocative characters — Jess; Adelaide Lyle, the town midwife and moral conscience; and Clem Barefield, a sheriff with his own painful past — A Land More Kind Than Home is a haunting tale of courage in the face of cruelty and the power of love to overcome the darkness that lives in us all. These are masterful portrayals, written with assurance and truth, and they show us the extraordinary promise of this remarkable.",Wiley Cash,3.87
The Night Watchman,"Based on the extraordinary life of National Book Award-winning author Louise Erdrich’s grandfather who worked as a night watchman and carried the fight against Native dispossession from rural North Dakota all the way to Washington, D.C., this powerful novel explores themes of love and death with lightness and gravity and unfolds with the elegant prose, sly humor, and depth of feeling of a master craftsman.

Thomas Wazhashk is the night watchman at the jewel bearing plant, the first factory located near the Turtle Mountain Reservation in rural North Dakota. He is also a Chippewa Council member who is trying to understand the consequences of a new “emancipation” bill on its way to the floor of the United States Congress. It is 1953 and he and the other council members know the bill isn’t about freedom; Congress is fed up with Indians. The bill is a “termination” that threatens the rights of Native Americans to their land and their very identity. How can the government abandon treaties made in good faith with Native Americans “for as long as the grasses shall grow, and the rivers run”?

Since graduating high school, Pixie Paranteau has insisted that everyone call her Patrice. Unlike most of the girls on the reservation, Patrice, the class valedictorian, has no desire to wear herself down with a husband and kids. She makes jewel bearings at the plant, a job that barely pays her enough to support her mother and brother. Patrice’s shameful alcoholic father returns home sporadically to terrorize his wife and children and bully her for money. But Patrice needs every penny to follow her beloved older sister, Vera, who moved to the big city of Minneapolis. Vera may have disappeared; she hasn’t been in touch in months, and is rumored to have had a baby. Determined to find Vera and her child, Patrice makes a fateful trip to Minnesota that introduces her to unexpected forms of exploitation and violence, and endangers her life.

Thomas and Patrice live in this impoverished reservation community along with young Chippewa boxer Wood Mountain and his mother Juggie Blue, her niece and Patrice’s best friend Valentine, and Stack Barnes, the white high school math teacher and boxing coach who is hopelessly in love with Patrice.

In the Night Watchman, Louise Erdrich creates a fictional world populated with memorable characters who are forced to grapple with the worst and best impulses of human nature. Illuminating the loves and lives, the desires and ambitions of these characters with compassion, wit, and intelligence, The Night Watchman is a majestic work of fiction from this revered cultural treasure.",Louise Erdrich,4.11
Kristy's Great Idea,"In this new graphic novel edition of the very first Baby-Sitters Club book, Raina Telgemeier captures all the drama of the original in warm, spunky illustrations. Witness Kristy's eureka moment, when she gets the idea for a ""baby-sitters club"" and enlists her best friends, shy Mary Anne and artistic Claudia, in an exciting new venture. But the baby-sitting business isn't the only thing absorbing their attention: Kristy is having a hard time accepting her stepdad-to-be, and the newest member of the gang, Stacey, seems to be hiding a secret.",Raina Telgemeier,4.16
Be with Me,"Teresa Hamilton is having a rough year—she’s in love with her big brother’s best friend, but he hasn’t spoken to her since they shared a truly amazing, mind-blowing, change-your-life kiss. She got out of a terrible relationship. And now an injury is threatening to end her dance career for good. It’s time for Plan B – college. And maybe a chance to convince Jase that what they have together is real.

Jase Winstead has a huge secret that he’s not telling anyone. Especially not his best friend’s incredibly beautiful sister. Even though he and Teresa shared the hottest kiss of his life, he knows that his responsibilities must take priority. He certainly doesn’t have time for a relationship. But it doesn’t help that all he can think about kissing the one girl who could ruin everything for him.

As they’re thrown together more and more, Jase and Tess can’t keep denying their feelings for each other. But a familiar danger looms and tragedy strikes. As the campus recovers, the star-crossed couple must decide what they’re willing to risk to be together, and what they’re willing to lose if they’re not…",J. Lynn,4.1
Antifragile: Things That Gain from Disorder,"From the bestselling author of The Black Swan and one of the foremost philosophers of our time, Nassim Nicholas Taleb, a book on how some systems actually benefit from disorder.

In The Black Swan Taleb outlined a problem; in Antifragile he offers a definitive solution: how to gain from disorder and chaos while being protected from fragilities and adverse events. For what he calls the ""antifragile"" is one step beyond robust, as it benefits from adversity, uncertainty and stressors, just as human bones get stronger when subjected to stress and tension.

Taleb stands uncertainty on its head, making it desirable, and proposing that things be built in an antifragile manner. Extremely ambitious and multidisciplinary, Antifragile provides a blueprint for how to behave—and thrive—in a world we don't understand and which is too uncertain for us to even try to understand. He who is not antifragile will perish. Why is the city state better than the nation state, why is debt bad for you, and why is almost everything modern bound to fail? The book covers innovation, health, biology, medicine, life decisions, politics, foreign policy, urban planning, war, personal finance, and economic systems. Throughout, the voice and recipes of the ancient wisdom from Phoenician, Roman, Greek, and Medieval sources are heard loud and clear.",Nassim Nicholas Taleb,4.09
"Jo's Boys, and How They Turned Out. a Sequel to ""Little Men""",Publisher: Boston: Roberts Brothers Publication date: 1886 Notes: This is an OCR reprint. There may be numerous typos or missing text. There are no illustrations or indexes. When you buy the General Books edition of this book you get free trial access to Million-Books.com where you can select from more than a million books for free. You can also preview the book there.,Louisa May Alcott,3.83
The Odyssey,"Sing to me of the man, Muse, the man of twists and turns
driven time and again off course, once he had plundered
the hallowed heights of Troy.

So begins Robert Fagles' magnificent translation of the Odyssey.

If the Iliad is the world's greatest war epic, then the Odyssey is literature's grandest evocation of everyman's journey though life. Odysseus' reliance on his wit and wiliness for survival in his encounters with divine and natural forces, during his ten-year voyage home to Ithaca after the Trojan War, is at once a timeless human story and an individual test of moral endurance.

In the myths and legends that are retold here, Fagles has captured the energy and poetry of Homer's original in a bold, contemporary idiom, and given us an Odyssey to read aloud, to savor, and to treasure for its sheer lyrical mastery.

Renowned classicist Bernard Knox's superb Introduction and textual commentary provide new insights and background information for the general reader and scholar alike, intensifying the strength of Fagles' translation.

This is an Odyssey to delight both the classicist and the public at large, and to captivate a new generation of Homer's students.

--

Robert Fagles, winner of the PEN/Ralph Manheim Medal for Translation and a 1996 Academy Award in Literature from the American Academy of Arts and Letters, presents us with Homer's best-loved and most accessible poem in a stunning new modern-verse translation.",Homer,3.8
Free Will,"Belief in free will touches nearly everything that human beings value. It is difficult to think about law, politics, religion, public policy, intimate relationships, morality—as well as feelings of remorse or personal achievement—without first imagining that every person is the true source of his or her thoughts and actions. And yet the facts tell us that free will is an illusion.

In this enlightening book, Sam Harris argues that this truth about the human mind does not undermine morality or diminish the importance of social and political freedom, but it can and should change the way we think about some of the most important questions in life.",Sam Harris,3.87
The Wordy Shipmates,"The Wordy Shipmates is an exploration of the Puritans and their journey to America to become the people of John Winthrop's ""city upon a hill""—a shining example, a ""city that cannot be hid.""

To this day, America views itself as a Puritan nation, but Vowell investigates what that means—and what it should mean. What was this great political enterprise all about? Who were these people who are considered the philosophical, spiritual, and moral ancestors of our nation? What Vowell discovers is something far different from what their uptight shoe-buckles-and-corn reputation might suggest. The people she finds are highly literate, deeply principled, and surprisingly feisty. Their story is filled with pamphlet feuds, witty courtroom dramas, and bloody vengeance. Along the way she asks:

Was Massachusetts Bay Colony governor John Winthrop a communitarian, Christlike Christian, or conformity's tyrannical enforcer? Yes!

Was Rhode Island's architect Roger Williams America's founding freak or the father of the First Amendment? Same difference.

What does it take to get that jezebel Anne Hutchinson to shut up? A hatchet.

What was the Puritans' pet name for the Pope? The Great Whore of Babylon.

Sarah Vowell's special brand of armchair history makes the bizarre and esoteric fascinatingly relevant and fun. She takes us from the modern-day reenactment of an Indian massacre to the Mohegan Sun casino, from old-timey Puritan poetry, where ""righteousness"" is rhymed with ""wilderness,"" to a Mayflower-themed waterslide. Throughout The Wordy Shipmates is rich in historical fact, humorous insight, and social commentary by one of America's most celebrated voices. Thou shalt enjoy it.",Sarah Vowell,3.67
This Is Where It Ends,"
  The #1 New York Times Bestseller
  A Buzzfeed Best Book of the DecadeA Paste Magazine Best Book of the Decade
  Everyone has a reason to fear the boy with the gun…

  
    10:00 a.m.:
  
   The principal of Opportunity, Alabama's high school finishes her speech, welcoming the entire student body to a new semester and encouraging them to excel and achieve.10:02 a.m.: The students get up to leave the auditorium for their next class.
  
  
     10:03:
  
   The auditorium doors won't open.
  
  
     10:05:
  
   Someone starts shooting.
In 54 minutes, four students must confront their greatest hopes, and darkest fears, as they come face-to-face with the boy with the gun.
  Includes special bonus content: a letter from the author, discussion questions, two bonus chapters, a conversation with the author, and a playlist!
Praise for This Is Where It Ends: A Buzzfeed Best Book of the Decade A Paste Magazine Best Book of the Decade A BookRiot Best Book of the DecadeA Professional Book Nerds Best Book of the Decade ""Marieke Nijkamp's brutal, powerful fictional account of a school shooting is important in its timeliness."" —Bustle.com""A gritty, emotional, and suspenseful read and although fictionalized, it reflects on a problematic and harrowing issue across the nation."" —Buzzfeed""A compelling, brutal story of an unfortunately all-too familiar situation: a school shooting. Nijkamp portrays the events thoughtfully, recounting fifty-four intense minutes of bravery, love, and loss."" —BookRiot",Marieke Nijkamp,3.68
Notes of a Dirty Old Man,"Notes of a Dirty Old Man is a collection of articles written by Charles Bukowski for the underground, L.A.-based newspaper Open City, which operated from 1967 to 1969. Bukowski uses his own life as the basis for his series of articles, and characteristically leaves nothing out.",Charles Bukowski,3.93
Bel-Ami,"Guy de Maupassant's scandalous tale of an opportunistic young man corrupted by the allure of power, ""Bel-Ami"" is translated with an introduction by Douglas Parmee in ""Penguin Classics"". Young, attractive and very ambitious, George Duroy, known to his admirers as Bel-Ami, is offered a job as a journalist on La Vie francaise and soon makes a great success of his new career. But he also comes face to face with the realities of the corrupt society in which he lives - the sleazy colleagues, the manipulative mistresses, and wily financiers - and swiftly learns to become an arch-seducer, blackmailer and social climber in a world where love is only a means to an end. Written when Maupassant was at the height of his powers, ""Bel-Ami"" is a novel of great frankness and cynicism, but it is also infused with the sheer joy of life - depicting the scenes and characters of Paris in the belle epoque with wit, sensitivity, and humanity. Douglas Parmee's translation captures all the vigour and vitality of Maupassant's novel. His introduction explores the similarities between Bel-Ami and Maupassant himself and demonstrates the skill with which the author depicts his large cast of characters and the French society of the Third Republic.",Guy de Maupassant,3.85
Fasandræberne,"I 1987 findes et søskendepar brutalt myrdet i et sommerhus i Rørvig. Politiets efterforskning peger på, at morderen skal findes blandt en gruppe unge kostskoleelever, der kommer fra nogle af de mest velhavende familier i Danmark. Men beviserne er ikke stærke nok, og sagen henlægges, indtil en af de mistænkte melder sig og tilstår at stå bag mordene. Dermed er sagen tilsyneladende opklaret.

Men, men, men: Adskillige år senere lander mappen med sagens akter imidlertid på skrivebordet hos vicekriminalkommissær Carl Mørck, der er leder af Afdeling Q, politiets afdeling for sager under særlig bevågenhed. Carl Mørck er i første omgang overbevist om, at det må være en fejl, at sagen er havnet hos ham, men snart opdager han, at noget er rivende galt.

Sammen med sin assistent Assad begynder han at efterforske en sag, der trækker spor fra den usleste posedame på hovedbanegården til de mest magtfulde mænd i landets øverste sociale lag. Klapjagten er begyndt.",Jussi Adler-Olsen,3.88
A Summer Affair,"Claire Danner Crispin, mother of four young children and nationally renowned glassblower, bites off more than she can chew when she agrees to co-chair a huge benefit concert on Nantucket. Claire is asked to chair the Nantucket Children Summer Gala, at least in part, because she is the former high school sweetheart of world famous rock star, Max West. Max agrees to play the benefit and it looks like smooth sailing for Claire—until she agrees to create a ""museum-quality"" piece of glass for the auction, pre-emptorily offers her best friend the catering job, goes nose-to-nose with her Manhattan socialite co-chair, and begins a ""good-hearted"" affair with the charity's Executive Director, Lockhart Dixon.

Hearts break and emotions stretch to the point of snapping in this in-depth look at one woman's attempt to deal with loves past and present, raise a family, run a business, and pull of a charity event unlike any the island of Nantucket has ever seen. Claire discovers that doing good and being bad are not mutually exclusive—and that nothing is ever as simple as it seems.",Elin Hilderbrand,3.65
A River Runs Through It and Other Stories,"Just as Norman Maclean writes at the end of ""A River Runs through It"" that he is ""haunted by waters,"" so have readers been haunted by his novella. A retired English professor who began writing fiction at the age of 70, Maclean produced what is now recognized as one of the classic American stories of the twentieth century. Originally published in 1976, A River Runs through It and Other Stories now celebrates its twenty-fifth anniversary, marked by this new edition that includes a foreword by Annie Proulx.

Maclean grew up in the western Rocky Mountains in the first decades of the twentieth century. As a young man he worked many summers in logging camps and for the United States Forest Service. The two novellas and short story in this collection are based on his own experiences—the experiences of a young man who found that life was only a step from art in its structures and beauty. The beauty he found was in reality, and so he leaves a careful record of what it was like to work in the woods when it was still a world of horse and hand and foot, without power saws, ""cats,"" or four-wheel drives. Populated with drunks, loggers, card sharks, and whores, and set in the small towns and surrounding trout streams and mountains of western Montana, the stories concern themselves with the complexities of fly fishing, logging, fighting forest fires, playing cribbage, and being a husband, a son, and a father.",Norman Maclean,4.18
The Good Lord Bird,"Librarian's note: An alternate cover edition can be found here

From the bestselling author of The Color of Water and Song Yet Sung comes the story of a young boy born a slave who joins John Brown’s antislavery crusade—and who must pass as a girl to survive.

Henry Shackleford is a young slave living in the Kansas Territory in 1857, when the region is a battleground between anti- and pro-slavery forces. When John Brown, the legendary abolitionist, arrives in the area, an argument between Brown and Henry’s master quickly turns violent. Henry is forced to leave town—with Brown, who believes he’s a girl.

Over the ensuing months, Henry—whom Brown nicknames Little Onion—conceals his true identity as he struggles to stay alive. Eventually Little Onion finds himself with Brown at the historic raid on Harpers Ferry in 1859—one of the great catalysts for the Civil War.

An absorbing mixture of history and imagination, and told with McBride’s meticulous eye for detail and character, The Good Lord Bird is both a rousing adventure and a moving exploration of identity and survival.",James   McBride,3.92
El tiempo entre costuras,"Una novela de amor y espionaje en el exotismo colonial de África.

La joven modista Sira Quiroga abandona Madrid en los meses convulsos previos al alzamiento arrastrada por el amor des­bocado hacia un hombre a quien apenas conoce. Juntos se instalan en Tánger, una ciudad mundana, exótica y vibrante en la que todo lo impensable puede hacerse realidad. Incluso la traición y el abandono de la persona en quien ha depositado toda su confianza. El tiempo entre costuras es una aventu­ra apasionante en la que los talleres de alta costura, el glamur de los grandes hoteles, las conspiraciones políticas y las oscuras misiones de los servicios secre­tos se funden con la lealtad hacia aque­llos a quienes queremos y con el poder irrefrenable del amor.

Una novela femenina que tiene todos los ingredientes del género: el creci­miento personal de una mujer, una historia de amor que recuerda a Casablanca… Nos acerca a la época colonial espa­ñola. Varios críticos literarios han destacado el hecho de que mientras en Francia o en Gran Bretaña existía una gran tradición de literatura colo­nial (Malraux, Foster, Kipling...), en España apenas se ha sacado prove­cho de la aventura africana. Un homenaje a los hombres y mujeres que vivieron allí. Además la autora nos aproxima a un personaje real desconocido para el gran público: Juan Luis Beigbeder, el primer ministro de Exteriores del gobierno de Franco.",María Dueñas,4.18
Liar & Spy,"The instant New York Times bestseller from the author of the Newbery Medal book When You Reach Me : a story about spies, games, and friendship. Seventh grader Georges moves into a Brooklyn apartment building and meets Safer, a twelve-year-old self-appointed spy. Georges becomes Safer's first spy recruit. His assignment? Tracking the mysterious Mr. X, who lives in the apartment upstairs. But as Safer becomes more demanding, Georges starts to wonder: what is a lie, and what is a game? How far is too far to go for your only friend? Like the dazzling When You Reach Me, Liar & Spy will keep readers guessing until the end.


Praise for Liar & Spy:

A Junior Library Guild Selection - A New York Times Bestseller - An Indie Bestseller - Kirkus Reviews starred review - Publishers Weekly starred review - The Horn Book starred review - School Library Journal starred review - The Bulletin of the Center for Children's Books starred review - Autumn 2012 Kids' Indie Next List -Nominated for the Best Fiction for Young Adults 2013 - Kirkus Reviews Best of Children's Books 2012 List - Publishers Weekly Best of Children's Fiction 2012 - School Library Journal Best of Children's Fiction 2012 List - The Horn Book 's Best of 2012 List -
Barnes & Noble Best Books of 2012 for Kids List - Amazon's Best of the Year, Middle Grade (3) - A New York Times Book Review Notable Children's Book of 2012 - Holiday gift guides: Chicago Tribune, San Francisco Chronicle, LA Times - NPR Outstanding ""Backseat"" Reads for Ages 9-14, NPR's Backseat Book Club - One of The Atlantic Wire's 25 favorite middle grade and young adult book covers of 2012 - The Wall Street Journal 's Best Children's Books of 2012 - The Chicago Public Library Best of the Best 2012 - The Bulletin of the Center for Children's Books 2012 Blue Ribbons List",Rebecca Stead,3.81
Greenwitch,"Simon, Jane, and Barney, enlisted by their mysterious great-uncle, arrive in a small coastal town to recover a priceless golden grail stolen by the forces of evil -- Dark. They are not at first aware of the strange powers of another boy brought to help, Will Stanton -- nor of the sinister significance of the Greenwitch, an image of leaves and branches that for centuries has been cast into the sea for good luck in fishing and harvest. Their search for the grail sets into motion a series of distubing, sometimes dangerous events that, at their climax, bring forth a gift that, for a time at least, will keep the Dark from rising.",Susan Cooper,4
Mariel of Redwall,"In the fourth volume of the epic Redwall saga, a mouse-ship is attacked by the pirate rat Gabool and his heinous band of cut-throats. Hapless voyagers Mariel and her father Joseph the Bellmaker are mercilessly thrown into the sea by the pirates. Mariel washes ashore, starved and near death, and is taken in by the hospitable inhabitants of Redwall Abbey. Sure that her poor father is dead, Mariel swears an oath of vengeance against the filthy pirates who killed her father. With he help of a motley band of animals, Mariel leads the charge to recover a bell and avenge her father.




About the Author:

Brian Jacques was born in Liverpool, England, in 1939. Growing up on the docks of Liverpool, he attended St. John's School. He went on to work as a radio show host, playwright, longshoreman, lorry driver, folk singer and comedian prior to his career as a writer. The father of two sons, Jacques enjoys walking his West Highland Terrier, Teddy and spends most of his time writing. A new Redwall book is introduced once every year.",Brian Jacques,4
"The Walking Dead, Vol. 5: The Best Defense","As the survivors settle into their prison home something has drawn them out into the open... out of the prison... out of their sanctuary. This is a major turning point for the overall story of The Walking Dead, setting the stage for years to come.",Robert Kirkman,4.27
Idoru,"In twenty-first century Tokyo, Rez, one of the world's biggest rock stars, prepares to marry Rei Toe, Japan's biggest media star, who is known as the Idoru and who exists only in virtual reality. Reprint.",William Gibson,3.83
The Blank Slate: The Modern Denial of Human Nature,"In The Blank Slate, Steven Pinker explores the idea of human nature and its moral, emotional, and political colorings. He shows how many intellectuals have denied the existence of human nature by embracing three linked dogmas: the Blank Slate (the mind has no innate traits), the Noble Savage (people are born good and corrupted by society), and the Ghost in the Machine (each of us has a soul that makes choices free from biology). Each dogma carries a moral burden, so their defenders have engaged in desperate tactics to discredit the scientists who are now challenging them.

Pinker injects calm and rationality into these debates by showing that equality, progress, responsibility, and purpose have nothing to fear from discoveries about a rich human nature. He disarms even the most menacing threats with clear thinking, common sense, and pertinent facts from science and history.

Despite its popularity among intellectuals during much of the twentieth century, he argues, the doctrine of the Blank Slate may have done more harm than good. It denies our common humanity and our individual preferences, replaces hardheaded analyses of social problems with feel-good slogans, and distorts our understanding of government, violence, parenting, and the arts.

Pinker shows that an acknowledgement of human nature that is grounded in science and common sense, far from being dangerous, can complement insights about the human condition made by millennia of artists and philosophers. All this is done in the style that earned his previous books many prizes and worldwide acclaim: wit, lucidity, and insight into matters great and small.",Steven Pinker,4.09
The Worst Best Man,"USA TODAY BESTSELLER!

""A romantic comedy that's fun and flirty, young and fresh."" – PopSugar

Named one of the Best Romances of 2020 by EW, Cosmo, OprahMag, Buzzfeed, Insider, and NPR!

Mia Sosa delivers a sassy, steamy #ownvoices enemies-to-lovers novel, perfect for fans of Jasmine Guillory, Helen Hoang, and Sally Thorne!

A wedding planner left at the altar? Yeah, the irony isn’t lost on Carolina Santos, either. But despite that embarrassing blip from her past, Lina’s offered an opportunity that could change her life. There’s just one hitch… she has to collaborate with the best (make that worst) man from her own failed nuptials.

Marketing expert Max Hartley is determined to make his mark with a coveted hotel client looking to expand its brand. Then he learns he’ll be working with his brother’s whip-smart, stunning—absolutely off-limits—ex-fiancée. And she loathes him.

If they can nail their presentation without killing each other, they’ll both come out ahead. Except Max has been public enemy number one ever since he encouraged his brother to jilt the bride, and Lina’s ready to dish out a little payback of her own.

Soon Lina and Max discover animosity may not be the only emotion creating sparks between them. Still, this star-crossed couple can never be more than temporary playmates because Lina isn’t interested in falling in love and Max refuses to play runner-up to his brother ever again...

""The Worst Best Man is rom-com perfection. . . Sosa has a gift with words that’s infectious and wry, one that keeps the pages turning in delight."" — Entertainment Weekly",Mia Sosa,3.56
The Dreaming Void,"The year is 3589, fifteen hundred years after Commonwealth forces barely staved off human extinction in a war against the alien Prime. Now an even greater danger has surfaced: a threat to the existence of the universe itself.
At the very heart of the galaxy is the Void, a self-contained microuniverse that cannot be breached, cannot be destroyed, and cannot be stopped as it steadily expands in all directions, consuming everything in its path: planets, stars, civilizations. The Void has existed for untold millions of years. Even the oldest and most technologically advanced of the galaxy’s sentient races, the Raiel, do not know its origin, its makers, or its purpose.

But then Inigo, an astrophysicist studying the Void, begins dreaming of human beings who live within it. Inigo’s dreams reveal a world in which thoughts become actions and dreams become reality. Inside the Void, Inigo sees paradise. Thanks to the gaiafield, a neural entanglement wired into most humans, Inigo’s dreams are shared by hundreds of millions–and a religion, the Living Dream, is born, with Inigo as its prophet. But then he vanishes.

Suddenly there is a new wave of dreams. Dreams broadcast by an unknown Second Dreamer serve as the inspiration for a massive Pilgrimage into the Void. But there is a chance that by attempting to enter the Void, the pilgrims will trigger a catastrophic expansion, an accelerated devourment phase that will swallow up thousands of worlds.

And thus begins a desperate race to find Inigo and the mysterious Second Dreamer. Some seek to prevent the Pilgrimage; others to speed its progress–while within the Void, a supreme entity has turned its gaze, for the first time, outward...",Peter F. Hamilton,4.18
Being Nikki,"THINGS AREN'T PRETTY FOR EMERSON WATTS.

Em was sure there couldn't be anything worse than being a brainiac in the body of a teenaged supermodel.

But it turned out she was wrong.

It turns out she has a mother who's gone mysteriously missing, a brother who's shown up on her doorstep demanding answers, a former best friend who's intent on destroying Stark Enterprises, and a British heartthrob who's written a song about her that's topping the charts.

How can Em balance all that with school and runway shows - especially when she's got ex-boyfriends crawling out of the woodwork who want more than just a photo op, a sister who is headed to the high school cheerleading championships, and a company she represents that seems to be turning to the dark side...

Not to mention trying to convince the love of her life that models aren't really airheads after all... especially one model in particular.

BUT THEN, NOBODY SAID IT WAS GOING TO BE EASY BEING NIKKI.",Meg Cabot,3.85
Take a Chance,"Als Harlow von ihrem Vater nach Rosemary Beach geschickt wird, um bei ihrer Halbschwester Nan zu wohnen, gibt es da gleich zwei Probleme: Zum einen kann die launische Nan sie auf den Tod nicht ausstehen, weshalb Harlow versucht, möglichst keine Aufmerksamkeit auf sich zu ziehen. Zum anderen kommt eines Morgens Grant Carter aus Nans Zimmer – und Harlow weiß, dass sie mit diesem verboten gutaussehenden Typen nichts zu tun haben will, der sich von ihrer fiesen Halbschwester um den Finger wickeln lässt … aber dann sollte sie auch aufhören, ihn so anzustarren.",Abbi Glines,4.13
A King's Ransom,"Amy and Dan are in a race for their lives . . . and the enemy may be even closer than they think.

When seven members of their family were kidnapped by a sinister organization known as the Vespers, thirteen-year-old Dan Cahill and his older sister, Amy, vowed they'd stop at nothing to bring the hostages home. But then the ransom comes in and the Vespers demand the impossible. Amy and Dan have just days to track down and steal an ancient map. The only catch? No one has seen the map for half a century.

Now Amy and Dan are on a desperate search that will lead them to the Nazis, spies, a mad king and some of history's dirtiest secrets. It's the race of their lives . . . and one misstep will mean certain death for the hostages.",Jude Watson,4.15
Among the Impostors,"Luke Garner is terrified.

Out of hiding for the first time in his life, he knows that any minute one of his new classmates at Hendricks School for Boys could discover his secret: that he's a third child passing as the recently deceased Lee Grant. And in a society where it's illegal for families to have more than two children, being a third child means certain death at the hands of the dreaded Population Police.

His first experience outside the safety of his home is bewildering. There's not a single window anywhere in the school; Luke can't tell his classmates apart (even as they subject him to brutal hazing); and the teachers seem oblivious to it all.

Desperate to fit in, Luke endures the confusion and teasing until he discovers an unlocked door to the outside, and a chance to understand what is really going on. But to take this chance -- to find out the secrets of Hendricks -- Luke will need to put aside his fears and discover a courage that a lifetime in hiding couldn't thwart.

Once again, best-selling author Margaret Peterson Haddix delights her fans with this spine-tingling account of an all-too-possible future.

Among the Impostors is a worthy companion to Among the Hidden and a heart-stopping thriller in its own right.",Margaret Peterson Haddix,4.06
Portrait of a Spy,"For Gabriel Allon and his wife, Chiara, it was supposed to be the start of a romantic weekend in London. But nothing is ever that simple when you're an off-duty spy and assassin. And when he fails to prevent a suicide bombing attack on Covent Garden, Gabriel is drawn once again into the world of international espionage and intrigue. From the streets of New York and London, to the unforgiving landscape of the Saudi desert, Gabriel Allon is in a race to the death against a calculating mass-murderer that he dare not lose ...",Daniel Silva,4.25
The Poisoner's Handbook: Murder and the Birth of Forensic Medicine in Jazz Age New York,"Deborah Blum, writing with the high style and skill for suspense that is characteristic of the very best mystery fiction, shares the untold story of how poison rocked Jazz Age New York City. In The Poisoner's Handbook Blum draws from highly original research to track the fascinating, perilous days when a pair of forensic scientists began their trailblazing chemical detective work, fighting to end an era when untraceable poisons offered an easy path to the perfect crime.

Drama unfolds case by case as the heroes of The Poisoner's Handbook—chief medical examiner Charles Norris and toxicologist Alexander Gettler—investigate a family mysteriously stricken bald, Barnum and Bailey's Famous Blue Man, factory workers with crumbling bones, a diner serving poisoned pies, and many others. Each case presents a deadly new puzzle and Norris and Gettler work with a creativity that rivals that of the most imaginative murderer, creating revolutionary experiments to tease out even the wiliest compounds from human tissue. Yet in the tricky game of toxins, even science can't always be trusted, as proven when one of Gettler's experiments erroneously sets free a suburban housewife later nicknamed ""America's Lucretia Borgia"" to continue her nefarious work.

From the vantage of Norris and Gettler's laboratory in the infamous Bellevue Hospital it becomes clear that killers aren't the only toxic threat to New Yorkers. Modern life has created a kind of poison playground, and danger lurks around every corner. Automobiles choke the city streets with carbon monoxide; potent compounds, such as morphine, can be found on store shelves in products ranging from pesticides to cosmetics. Prohibition incites a chemist's war between bootleggers and government chemists while in Gotham's crowded speakeasies each round of cocktails becomes a game of Russian roulette. Norris and Gettler triumph over seemingly unbeatable odds to become the pioneers of forensic chemistry and the gatekeepers of justice during a remarkably deadly time. A beguiling concoction that is equal parts true crime, twentieth-century history, and science thriller, The Poisoner's Handbook is a page-turning account of a forgotten New York.",Deborah Blum,4.01
One Good Turn,"On a beautiful summer day, crowds lined up outside a theater witness a sudden act of extreme road rage: a tap on a fender triggers a nearly homicidal attack. Jackson Brodie, ex-cop, ex-private detective, new millionaire, is among the bystanders.

The event thrusts Jackson into the orbit of the wife of an unscrupulous real estate tycoon, a washed-up comedian, a successful crime novelist, a mysterious Russian woman, and a female police detective. Each of them hiding a secret, each looking for love or money or redemption or escape, they all play a role in driving Jackson out of retirement and into the middle of several mysteries that intersect in one sinister scheme.

Kate Atkinson ""writes such fluid, sparkling prose that an ingenious plot almost seems too much to ask, but we get it anyway,"" writes Laura Miller for Salon. With a keen eye for the excesses of modern life, a warm understanding of the frailties of the human heart, and a genius for plots that turn and twist, Atkinson has written a novel that delights and surprises from the first page to the last.",Kate Atkinson,3.81
RoomHate,"Sharing a summer house with a hot-as-hell roommate should be a dream come true, right?

Not when it’s Justin… the only person I’d ever loved… who now hates me.

When my grandmother died and left me half of the house on Aquidneck Island, there was a catch: the other half would go to the boy she helped raise.

The same boy who turned into the teenager whose heart I broke years ago.

The same teenager who’s now a man with a hard body and a hardass personality to match.

I hadn’t seen him in years, and now we’re living together because neither one of us is willing to give up the house.

The worst part? He didn’t come alone.

I’d soon realize there’s a thin line between love and hate. I could see through that smug smile. Beneath it all…the boy is still there. So is our connection.

The problem is…now that I can’t have Justin, I’ve never wanted him more.


Author's note – RoomHate is a full-length standalone novel. Due to strong language and sexual content, this book is not intended for readers under the age of 18.",Penelope Ward,3.86
